MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
94,0.559,0.049,22.928,0.038,191.78,0.32,185.0452,0.0002,0.0020238,1.15,-1,3,23,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,332641.5,247723.4,112693.1,139066.4,0.001,124493.9
95,2.153,0.033,39.509,0.044,317.59,0.36,553.2345,0.0014,0.0020145,1.14,-1,4,24,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,780365.5,264747,84164.75,104167.9,56814.23,81517.44
96,2.947,0.125,17.413,0.009,142.52,0.07,248.9731,0.0008,0.0019782,1.22,-1,2,18,100,,FALSE,221606.1,0.001,306598,285581.1,0.001,720925.6,983273.8,0.001,1101380,0.001,906142.8,442644.8
97,0.838,0.011,26.563,0.033,231.77,0.29,112.9864,0.0002,0.001913,1.59,-1,2,17,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,122054.5,224141.6,0.001,241538.8,0.001,0.001
98,1.101,0.047,28.543,0.032,234.88,0.26,259.076,0.0006,0.0018414,1.17,-1,3,22,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,217762,195908.4,63961.88,128227.5,0.001,0.001
99,0.764,0.005,46.628,0.046,373.51,0.38,688.4935,0.0003,0.0018248,1.43,-1,4,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,294061.6,899962.4,935228.5,876419.3,918840.9
100,1.029,0.051,35.813,0.103,297.27,0.86,229.1563,0.0002,0.001764,1.29,-1,3,16,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,102557.2,158202.9,0.001,0.001,0.001,0.001
101,0.379,0.043,34.031,0.02,297.73,0.18,112.9862,0.0001,0.0017578,1.71,-1,2,11,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
102,1.053,0.015,23.939,0.034,198.51,0.28,215.0334,0.0002,0.001751,0.98,-1,4,21,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,474543.5,378602.5,0.001,202378.8,184154.1,169330.9
103,0.103,0.006,23.018,0.015,189.92,0.13,232.9242,0.0002,0.0017453,0.95,-1,5,20,82.4,,FALSE,0.001,540053.8,0.001,0.001,480085.6,321066.8,563567.3,0.001,543975.3,0.001,0.001,0.001
104,1.069,0.059,52.228,0.04,417.33,0.32,824.5674,0.0004,0.0016566,1.58,-1,4,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,263287.2,670952,1281775,694299.4,758449.6
105,2.214,0.014,18.058,0.01,156.64,0.09,112.9382,0.0003,0.0016512,1.44,-1,3,12,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
106,1.154,0.014,47.842,0.028,383.27,0.22,691.5403,0.0004,0.00165,1.5,-1,3,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,929879.2,509089,1184974,529739,761991.6
107,0.374,0.006,30.517,0.069,249.88,0.57,293.1762,0.0002,0.0015328,0.88,-1,3,29,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,178124.2,140679.5,191868.6,206262.8,120384.4,191280
108,1.127,0.019,34.955,0.202,290.22,1.69,227.1044,0.0002,0.0015312,1.49,-1,3,15,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,229333.4,142640.3,0.001,0.001,0.001,0.001
109,0.799,0.004,45.212,0.036,362.53,0.29,648.4619,0.0003,0.0015056,1.55,-1,4,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,79985.5,745775.6,1100391,305867.4,735583.4
110,0.786,0.006,46.34,0.034,371.32,0.27,676.4932,0.0002,0.0014924,2.4,-1,4,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,675854.1,0.001,2157524,0.001,0.001
111,0.289,0.005,29.069,0.045,240.12,0.38,241.2177,0.0002,0.0014288,1.2,-1,3,22,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,662288.1,724697.4,272538.7,635045.8
112,0.329,0.004,26.505,0.054,224.71,0.46,157.1233,0.0001,0.0014055,1.01,-1,2,23,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,426461.7,178902.6,128804.5,117516.9,0.001,321867.2
113,0.831,0.008,23.885,0.032,198.06,0.27,215.0331,0.0002,0.001394,0.97,-1,4,22,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,221896.2,225422,132692.8,176549.1,0.001,157502.2
