MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
1348,2.873,0.016,23.708,0.063,196.37,0.53,218.9177,0.0014,0.0000074,5.02,-1,3,2,85.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1349,1.606,,23.966,,200.44,,187.073,,0.0000074,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1350,1.723,0.088,19.366,0.027,160.58,0.23,203.8693,0.0005,0.0000073,2.58,-1,3,7,97.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2839.165,0.001,0.001,0.001
1351,0.763,0.002,49.953,0.07,399.22,0.56,802.434,0.0016,0.0000073,3.39,-1,2,4,94.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7143.882,0.001,0.001
1352,0.375,,27.107,,223.19,,253.1444,,0.0000073,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1353,2.371,,27.867,,227.82,,297.0229,,0.0000073,6,-1,2,1,90.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1354,0.904,0.039,27.828,0.114,227.84,0.94,286.9369,0.0006,0.0000072,4.19,-1,3,2,91.1,,FALSE,0.001,0.001,0.001,0.001,17076.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1355,2.109,,33.999,,273.92,,481.1203,,0.0000072,6,-1,2,1,98.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1356,0.616,,34.143,,274.86,,495.9299,,0.0000072,6,-1,5,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1357,3.284,0.111,26.53,0.01,215.63,0.08,337.9,0.002,0.0000072,5.23,-1,2,2,96.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37967.21,0.001,0.001,0.001
1358,0.29,0.003,24.719,0.009,201.9,0.08,292.8913,0.0001,0.0000072,4.2,-1,2,2,92.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1359,3.044,0.055,26.908,0.113,218.77,0.93,336.8987,0.0007,0.0000071,2.69,-1,3,6,86.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,8249.945,0.001,0.001,0.001,0.001,0.001
1360,1.305,0.013,26.161,0.033,217.01,0.28,218.104,0.0001,0.0000071,4.19,-1,2,2,89.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1361,0.984,,33.876,,283.09,,202.0551,,0.0000071,6,-1,2,1,98.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1362,0.263,0.006,42.526,0.058,342.27,0.47,538.4482,0.0003,0.0000071,2.94,-1,2,4,97.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10667.88
1363,0.499,0.005,28.068,0.062,229.91,0.52,284.7746,0.0003,0.0000071,2.29,-1,3,7,98.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1364,0.866,,29.991,,246.15,,277.1555,,0.000007,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1365,2.244,,34.451,,278.24,,443.1857,,0.000007,6,-1,2,1,98.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1366,0.205,,30.459,,245.27,,470.9262,,0.0000069,6,-1,2,1,93.4,,FALSE,0.001,0.001,0.001,34908.61,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1367,0.664,0.003,26.726,0.019,221.76,0.16,218.0858,0.0005,0.0000069,4.19,-1,2,2,95.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1368,0.827,0.006,43.679,0.03,350.65,0.24,606.4137,0.0008,0.0000068,3.43,-1,2,3,96.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1369,0.266,,46.963,,373.66,,1051.9473,,0.0000068,6,-1,2,1,96.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1370,0.373,,25.998,,216.3,,207.1393,,0.0000068,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1371,0.891,,32.537,,274.66,,172.0985,,0.0000067,6,-1,2,1,98,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1372,0.496,,24.927,,203.69,,290.8831,,0.0000067,6,-1,2,1,83.4,,FALSE,32618.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1373,0.497,0.038,23.123,0.09,192.6,0.76,197.9582,0.0011,0.0000067,4.19,-1,3,2,82.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21655.33,0.001,0.001,0.001
1374,3.003,0.096,22.118,0.036,185.47,0.31,176.9295,0.0003,0.0000066,2.93,-1,3,5,82.4,,FALSE,0.001,2763.56,0.001,0.001,0.001,1982.509,0.001,0.001,13067.18,0.001,0.001,0.001
1375,0.847,,34.629,,280.45,,406.1358,,0.0000066,6,-1,2,1,97.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1376,2.336,,31.815,,258.35,,366.0477,,0.0000066,6,-1,2,1,94.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1377,2.218,0.199,21.933,0.001,182.9,0.01,192.0242,0.0011,0.0000066,4.44,-1,2,2,92.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1378,3.005,0.048,22.868,0.06,190.57,0.5,195.9389,0.001,0.0000066,2.8,-1,3,5,91.6,,FALSE,0.001,0.001,0.001,11379.05,0.001,0.001,0.001,4246.68,0.001,0.001,10328.34,0.001
1379,0.558,0.078,30.804,0.186,253.34,1.55,266.8039,0.0003,0.0000066,4.32,-1,7,2,82.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1380,2.282,0.012,44.322,0.108,354.65,0.87,715.2872,0,0.0000065,4.27,-1,2,2,97,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1381,0.526,0.039,31.869,0.145,271.59,1.25,150.8869,0.0002,0.0000065,3.66,-1,3,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1382,0.445,0.091,23.843,0.049,196.47,0.41,240.9453,0.0004,0.0000065,2.95,-1,3,6,88.1,,FALSE,0.001,0.001,2989.411,3861.05,0.001,0.001,0.001,0.001,0.001,0.001,2031.421,10008.69
1383,0.369,0.007,37.456,0.063,302.28,0.51,467.142,0.0008,0.0000064,4.26,-1,2,2,93.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1384,3.225,0.124,25.891,0.059,211.6,0.49,292.8614,0.0001,0.0000064,4.21,-1,3,2,87.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1385,3.426,0.027,26.87,0.274,221.13,2.28,254.9065,0.0011,0.0000064,4.96,-1,3,3,82,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,30271.32,0.001,0.001,0.001,0.001,0.001
1386,0.539,0.082,20.569,0.087,182.17,0.78,94.926,0.0001,0.0000064,3.63,-1,3,3,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,17543.07,0.001,0.001,0.001,0.001,0.001
1387,0.504,0.016,23.861,0.059,202.65,0.5,150.8869,0.0001,0.0000064,2.95,-1,5,4,90.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,12178.17,6070.359,0.001,0.001,0.001,0.001
1388,0.656,0.044,22.688,0.008,199.44,0.07,102.9571,0.0001,0.0000063,4.2,-1,3,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,16423.13,0.001,0.001,0.001,0.001,0.001,0.001
1389,2.952,0.088,23.113,0.093,192.7,0.79,194.9569,0.0003,0.0000062,2.48,-1,3,6,83,,FALSE,4955.07,0.001,9219.763,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1390,0.591,0.188,17.353,0.036,150.68,0.32,111.0007,0.0002,0.0000062,2.98,-1,3,4,90.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,12748.49,7028.758,0.001,0.001,0.001,0.001
1391,0.638,0.039,18.092,0.021,157.22,0.19,111.0005,0.0003,0.0000062,5.4,-1,3,2,87.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1392,2.144,0.002,32.463,0.014,262.08,0.11,441.0363,0.0011,0.0000062,4.21,-1,2,2,97.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1393,0.624,,25.807,,211.73,,268.8004,,0.0000062,6,-1,3,1,92.5,,FALSE,0.001,0.001,0.001,0.001,0.001,30009.71,0.001,0.001,0.001,0.001,0.001,0.001
1394,0.205,,34.217,,274.58,,562.9561,,0.0000062,6,-1,2,1,91.8,,FALSE,29947.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1395,0.361,0.009,47.627,0.03,382.03,0.24,648.4829,0.0003,0.0000061,5.02,-1,2,2,91.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25615.76,0.001,5959.978,0.001,0.001
1396,0.259,0.009,38.493,0.061,309.52,0.49,541.2279,0.0009,0.0000061,4.21,-1,2,2,94.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13880.93,0.001,0.001,0.001,0.001
1397,0.615,,32.293,,260.71,,439.969,,0.0000061,6,-1,3,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1398,0.552,,38.774,,331.03,,151.0268,,0.0000061,6,-1,2,1,91.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1399,0.241,0.003,47.063,0.018,377.51,0.15,645.543,0.0005,0.0000061,3.44,-1,2,3,92.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8968.558,0.001,0.001,0.001
1400,0.392,0.001,41.798,0.01,336.64,0.08,521.2501,0.0001,0.0000061,4.22,-1,2,2,97.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1401,0.517,0.05,28.056,0.173,244.12,1.52,116.9732,0,0.000006,4.07,-1,3,3,91.5,,FALSE,0.001,0.001,19753.93,6896.618,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1402,0.241,0.002,47.155,0.037,378.47,0.3,628.5531,0.0009,0.000006,4.46,-1,2,3,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1887.925,0.001,23448.86,0.001,0.001
1403,2.301,,39.598,,318.44,,544.2477,,0.000006,6,-1,2,1,91.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1404,0.543,0.065,39.795,0.222,356.04,2,92.9289,0.0002,0.000006,2.08,-1,5,8,88.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4269.519,0.001,0.001,4368.862
1405,0.272,0.004,36.727,0.065,296.72,0.53,447.215,0.0009,0.0000059,3.38,-1,3,3,98,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1406,3.364,,31.892,,256.55,,496.8281,,0.0000059,6,-1,2,1,82.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1407,0.81,,22.896,,193.64,,158.082,,0.0000059,6,-1,2,1,99.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1408,3.354,,23.927,,195.29,,294.8307,,0.0000058,6,-1,2,1,98.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1409,1.449,,29.902,,244.28,,308.0991,,0.0000058,6,-1,2,1,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1410,3.401,0.072,26.285,0.163,216.22,1.35,255.9057,0.0003,0.0000057,2.9,-1,3,4,90.8,,FALSE,0.001,7627.606,0.001,0.001,6287.085,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1411,0.377,,31.529,,257.09,,327.1824,,0.0000057,6,-1,2,1,97.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1412,3.128,,22.414,,186.79,,194.9567,,0.0000057,6,-1,3,1,93.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1413,1.444,,30.664,,249.67,,337.0788,,0.0000057,6,-1,2,1,87.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1414,2.649,,25.309,,208.55,,244.9599,,0.0000057,6,-1,3,1,98.5,,FALSE,0.001,0.001,0.001,0.001,0.001,27534.17,0.001,0.001,0.001,0.001,0.001,0.001
1415,0.765,0.002,46.474,0.036,372.29,0.29,686.4783,0.0002,0.0000056,3.4,-1,2,3,99.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10707.65
1416,0.271,,28.671,,235.28,,275.0954,,0.0000056,6,-1,2,1,95.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1417,2.319,0.005,46.537,0.097,372.38,0.78,728.3534,0.0023,0.0000056,3.37,-1,2,3,98,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1418,0.5,,50.243,,401.86,,767.5043,,0.0000056,6,-1,2,1,82.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,28410.35,0.001,0.001,0.001,0.001
1419,2.961,0.174,18.353,0.021,156.66,0.19,134.8952,0.0009,0.0000056,4.02,-1,3,3,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,16652.59,0.001,0.001,0.001,0.001,0.001,3561.751
1420,2.128,0.159,26.187,0.047,214.81,0.39,270.9442,0.0005,0.0000056,4.02,-1,3,3,82.4,,FALSE,0.001,0.001,0.001,0.001,5146.67,4928.611,0.001,0.001,0.001,0.001,0.001,0.001
1421,2.304,,32.572,,264.03,,388.1251,,0.0000055,6,-1,2,1,99.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1422,2.115,0.008,33.696,0.15,272.94,1.23,401.1324,0.0006,0.0000055,4.34,-1,2,2,95.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1423,2.901,,28.156,,228.1,,376.8556,,0.0000055,6,-1,2,1,82.4,,FALSE,0.001,28452.81,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1424,2.285,,43.201,,346.18,,657.3252,,0.0000055,6,-1,2,1,94.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1425,0.513,0.011,23.506,0.207,209.11,1.87,92.9291,0.0001,0.0000055,3.99,-1,5,3,80.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1426,3.377,0.04,23.213,0.089,192.21,0.75,218.9602,0.0001,0.0000054,4.57,-1,3,2,90.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1427,3.408,0.022,24.242,0.109,200.75,0.91,220.9372,0.0003,0.0000054,4.52,-1,5,3,85.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,24435.27,0.001,0.001,0.001
1428,2.301,0,30.075,0.001,245.42,0.01,317.1495,0.0008,0.0000054,4.28,-1,2,2,98.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1429,1.156,0.01,37.427,0.173,299.38,1.39,677.5249,0.0002,0.0000054,4.21,-1,2,2,94.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1430,1.057,,32.423,,264.42,,328.2244,,0.0000053,6,-1,2,1,89.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1431,3.048,0.091,22.685,0.007,188.9,0.06,197.9575,0.0004,0.0000052,2.99,-1,3,4,81.2,,FALSE,0.001,0.001,0.001,0.001,0.001,8799.246,0.001,6607.21,0.001,0.001,0.001,0.001
1432,0.927,0.066,23.879,0.053,196.78,0.44,240.9454,0.0004,0.0000052,2.61,-1,3,5,90.4,,FALSE,0.001,0.001,6301.144,0.001,0.001,0.001,4568.713,0.001,0.001,0.001,0.001,8185.758
1433,0.193,0.121,26.125,0.056,215.93,0.47,232.924,0.0003,0.0000052,5.02,-1,3,2,88.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1434,0.383,0,43.275,0.047,347.15,0.38,625.3213,0.0018,0.0000052,4.19,-1,3,2,99,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1435,0.375,0.041,20.219,0.037,172.64,0.32,136.9914,0.0003,0.0000052,4.09,-1,3,3,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1436,0.514,0.004,30.026,0.023,246.88,0.19,266.8043,0.0001,0.0000052,4.86,-1,7,2,91.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1437,1.055,,38.831,,318.37,,300.1936,,0.0000052,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1438,3.188,,29.205,,246.76,,167.058,,0.0000051,6,-1,2,1,88,,FALSE,0.001,0.001,0.001,0.001,0.001,24993.15,0.001,0.001,0.001,0.001,0.001,0.001
1439,0.38,,35.773,,289.31,,429.15,,0.0000051,6,-1,2,1,84.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1440,0.775,,46.865,,375.39,,691.5109,,0.0000051,6,-1,2,1,95,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1441,1.715,,30.217,,245.24,,366.0223,,0.0000051,6,-1,2,1,94.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1442,0.6,,35.152,,302.63,,134.8952,,0.0000051,6,-1,3,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1443,0.848,0.061,19.867,0.009,169.08,0.07,141.9289,0.0002,0.0000051,3.03,-1,3,4,91.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6211.642,10345.17,0.001
1444,0.809,,23.439,,196.78,,176.0393,,0.000005,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1445,1.226,,23.973,,199.65,,200.0573,,0.000005,6,-1,2,1,88,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1446,0.279,,36.651,,298.54,,349.236,,0.000005,6,-1,2,1,86.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1447,2.526,,21.905,,180.41,,237.8705,,0.000005,6,-1,3,1,97.1,,FALSE,0.001,0.001,25737.36,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1448,0.265,0.003,37.315,0.06,301.32,0.49,457.2437,0.0002,0.000005,3.45,-1,2,3,96.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1449,3.287,0.01,22.043,0.169,183.48,1.43,197.9589,0.0017,0.000005,3.5,-1,3,3,86.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12704.74,0.001,0.001,0.001
1450,0.82,,25.494,,212.36,,202.1088,,0.000005,6,-1,2,1,99,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1451,0.591,,31.762,,258.4,,348.0924,,0.000005,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1452,0.696,,29.488,,238.26,,414.8327,,0.0000049,6,-1,2,1,83.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,28283.36,0.001,0.001,0.001,0.001,0.001
1453,2.611,,29.243,,238.55,,317.1008,,0.0000049,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1454,0.287,,31.598,,261.25,,241.2178,,0.0000049,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1455,1.444,,26.328,,220.63,,185.0572,,0.0000049,6,-1,2,1,88.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1456,2.606,,36.381,,292.7,,519.1408,,0.0000049,6,-1,2,1,98.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1457,0.747,,28.314,,231.76,,290.1147,,0.0000049,6,-1,2,1,95.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1458,0.185,0.139,23.37,0.207,194.63,1.75,198.9546,0.0006,0.0000048,3.42,-1,3,4,85.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1459,0.598,,35.736,,294.38,,266.0897,,0.0000048,6,-1,2,1,93.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1460,0.75,0.007,51.518,0.02,411.66,0.16,820.4793,0.0014,0.0000048,4.19,-1,2,2,83.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15097.17,0.001
1461,0.379,0.001,41.836,0.041,336.9,0.34,524.4316,0,0.0000048,4.23,-1,2,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1462,2.264,,29.966,,245.32,,293.1164,,0.0000048,6,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1463,2.412,0.03,23.85,0.001,196.75,0.01,235.9921,0,0.0000048,4.26,-1,3,2,99,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,16385.25,0.001,0.001,0.001,0.001,11085.14
1464,1.212,,30.777,,251.3,,314.1153,,0.0000048,6,-1,2,1,99.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1465,3.177,,28.085,,227.52,,376.8521,,0.0000048,6,-1,3,1,92.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1466,3.049,0.088,25.01,0.179,206.05,1.5,244.9086,0.0014,0.0000048,3.11,-1,3,4,82.4,,FALSE,0.001,0.001,0.001,7424.316,0.001,0.001,0.001,0.001,0.001,9528.957,0.001,0.001
1467,1.077,,37.945,,308.58,,368.1093,,0.0000048,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1468,2.635,,24.373,,198.59,,308.856,,0.0000048,6,-1,5,1,89.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1469,3.364,0.062,27.044,0.225,219.73,1.85,342.8774,0.0006,0.0000047,3.31,-1,3,4,83.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1670.913,0.001,10504.2,0.001,0.001
1470,0.366,,27.674,,226.93,,277.0598,,0.0000047,6,-1,3,1,98.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1471,0.204,,40.949,,326.62,,828.8558,,0.0000047,6,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1472,1.154,,28.141,,231.89,,251.1039,,0.0000047,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1473,2.112,,33.519,,270.89,,430.1612,,0.0000047,6,-1,2,1,97.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1474,0.345,0.129,19.405,0.09,165.09,0.78,141.9279,0.001,0.0000047,2.52,-1,3,7,86.9,,FALSE,0.001,0.001,0.001,1550.446,6018.486,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1475,0.394,0.004,44.894,0.02,359.73,0.16,669.3488,0.0008,0.0000046,4.19,-1,3,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1476,1.226,0.002,37.783,0.041,304.88,0.33,471.2613,0.0017,0.0000046,4.23,-1,2,2,97.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1477,0.497,0.002,24.348,0.006,199.14,0.05,282.7777,0.0008,0.0000046,3.58,-1,7,3,93.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1478,0.611,,31.785,,257.72,,382.0103,,0.0000046,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
